Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,abnormality_type
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0004,3,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0006,5,underdeveloped
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0026,27,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0027,28,underdeveloped
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0027,29,underdeveloped
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0028,30,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0030,32,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0031,33,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0032,34,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0037,39,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0042,44,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0043,45,underdeveloped
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0045,47,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0046,48,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0047,49,packed
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0049,51,underdeveloped
Blastula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,blast_exp1_b1-0059,61,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0002,1,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0005,4,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0006,5,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0008,7,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0009,8,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0010,9,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0011,10,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0012,11,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0012,12,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0013,16,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0014,17,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0016,19,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0018,21,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0019,22,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0020,23,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0021,24,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0022,25,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0024,28,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0025,29,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0026,30,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0027,31,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0028,32,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0029,33,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0030,34,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0031,35,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0032,36,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0033,37,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0034,38,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0036,40,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0037,41,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0038,42,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0039,43,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0040,44,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0041,45,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0045,49,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0047,51,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0048,52,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0049,53,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0050,54,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0051,55,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0052,56,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0053,57,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0054,58,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0055,59,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0056,60,underdeveloped
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0057,61,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0058,62,packed
Blastula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,blast_exp1_b10-0061,64,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0005,4,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0009,7,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0013,14,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0016,15,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0018,17,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0021,22,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0022,23,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0036,39,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0036,40,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0037,42,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0040,47,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0041,48,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0041,49,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0044,51,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0047,55,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0049,57,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0050,59,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0052,61,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0057,67,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0062,72,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0063,73,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0064,74,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0068,80,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0069,81,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0074,86,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0075,87,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0079,92,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0086,100,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0097,112,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0099,114,packed
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0112,127,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0113,128,underdeveloped
Blastula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,blast_exp1_b11-0114,129,underdeveloped
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0003,2,packed
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0013,12,packed
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0014,13,packed
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0023,22,packed
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0026,26,packed
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0033,33,underdeveloped
Blastula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,blast_exp1_b12-0035,35,underdeveloped
