Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,PhotoID,SampleID,Height_mm,Stomach_Length_mm
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0025,25,0.089,0.058
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0002,1,0.099,0.077
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0003,2,0.086,0.056
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0004,3,0.09,0.044
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0006,5,0.087,0.052
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0007,6,0.086,0.055
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0008,7,0.094,0.049
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0009,11,0.088,0.06
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0014,13,0.098,0.066
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0015,14,0.078,0.046
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0016,15,0.094,0.054
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0017,16,0.089,0.068
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0018,17,0.092,0.064
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0024,22,0.082,0.062
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0026,24,0.093,0.068
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0029,28,0.083,0.052
