Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,abnormality_type
Pluteus,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,1,plut_exp1_b11-0002,abnormal_arms
Pluteus,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,2,plut_exp1_b11-0005,abnormal_arms
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,1,plut_exp1_b1-0002,small_plut
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,9,plut_exp1_b1-0011,bell_shape
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,12,plut_exp1_b1-0015,larval_arrest
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,18,plut_exp1_b1-0021,degraded_stomach
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,22,plut_exp1_b1-0025,small_plut
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,1,plut_exp1_b2-0002,bell_shape
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,2,plut_exp1_b2-0003,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,3,plut_exp1_b2-0004,bell_shape
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,4,plut_exp1_b2-0005,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,5,plut_exp1_b2-0007,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,6,plut_exp1_b2-0008,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,7,plut_exp1_b2-0009,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,8,plut_exp1_b2-0010,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,9,plut_exp1_b2-0011,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,10,plut_exp1_b2-0012,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,11,plut_exp1_b2-0013,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,12,plut_exp1_b2-0015,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,13,plut_exp1_b2-0016,larval_arrest
Pluteus,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,14,plut_exp1_b2-0017,larval_arrest
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,15,plut_exp1_b5-0016,small_plut
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,46,plut_exp1_b5-0046,small_plut
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,2,plut_exp1_b12-0003,small_plut
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,5,plut_exp1_b12-0006,small_plut
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,8,plut_exp1_b12-0009,small_plut
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,10,plut_exp1_b12-0011,bell_shape
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,13,plut_exp1_b12-0014,larval_arrest
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,16,plut_exp1_b12-0017,small_plut
