Stage,Slide,Beaker,Experiment,Treatment,Population,MatePair,Count
Blastula,1,1,1,C,Cab,P1,3
Blastula,2,1,1,C,Cab,P1,6
Blastula,3,1,1,C,Cab,P1,9
Blastula,4,1,1,C,Cab,P1,3
Blastula,5,1,1,C,Cab,P1,9
Blastula,6,1,1,C,Cab,P1,14
Blastula,7,1,1,C,Cab,P1,17
Blastula,8,1,1,C,Cab,P1,13
Blastula,9,1,1,C,Cab,P1,12
Blastula,10,1,1,C,Cab,P1,7
Blastula,1,2,1,NP,Wh,P3,7
Blastula,2,2,1,NP,Wh,P3,3
Blastula,3,2,1,NP,Wh,P3,6
Blastula,4,2,1,NP,Wh,P3,11
Blastula,5,2,1,NP,Wh,P3,4
Blastula,6,2,1,NP,Wh,P3,6
Blastula,7,2,1,NP,Wh,P3,5
Blastula,8,2,1,NP,Wh,P3,8
Blastula,9,2,1,NP,Wh,P3,11
Blastula,10,2,1,NP,Wh,P3,9
Blastula,1,4,1,NP,Trp,P2,26
Blastula,2,4,1,NP,Trp,P2,19
Blastula,3,4,1,NP,Trp,P2,21
Blastula,4,4,1,NP,Trp,P2,18
Blastula,5,4,1,NP,Trp,P2,29
Blastula,6,4,1,NP,Trp,P2,13
Blastula,7,4,1,NP,Trp,P2,21
Blastula,8,4,1,NP,Trp,P2,17
Blastula,9,4,1,NP,Trp,P2,11
Blastula,10,4,1,NP,Trp,P2,22
Blastula,1,5,1,C,Twp,P3,13
Blastula,2,5,1,C,Twp,P3,7
Blastula,3,5,1,C,Twp,P3,15
Blastula,4,5,1,C,Twp,P3,9
Blastula,5,5,1,C,Twp,P3,7
Blastula,6,5,1,C,Twp,P3,3
Blastula,7,5,1,C,Twp,P3,8
Blastula,8,5,1,C,Twp,P3,12
Blastula,9,5,1,C,Twp,P3,11
Blastula,10,5,1,C,Twp,P3,9
Blastula,1,7,1,NP,Trp,P3,17
Blastula,2,7,1,NP,Trp,P3,14
Blastula,3,7,1,NP,Trp,P3,26
Blastula,4,7,1,NP,Trp,P3,31
Blastula,5,7,1,NP,Trp,P3,32
Blastula,6,7,1,NP,Trp,P3,28
Blastula,7,7,1,NP,Trp,P3,21
Blastula,8,7,1,NP,Trp,P3,25
Blastula,9,7,1,NP,Trp,P3,36
Blastula,10,7,1,NP,Trp,P3,15
Blastula,1,8,1,C,Twp,P1,16
Blastula,2,8,1,C,Twp,P1,6
Blastula,3,8,1,C,Twp,P1,17
Blastula,4,8,1,C,Twp,P1,13
Blastula,5,8,1,C,Twp,P1,13
Blastula,6,8,1,C,Twp,P1,7
Blastula,7,8,1,C,Twp,P1,9
Blastula,8,8,1,C,Twp,P1,9
Blastula,9,8,1,C,Twp,P1,11
Blastula,10,8,1,C,Twp,P1,11
Blastula,1,10,1,NP,Twp,P2,5
Blastula,2,10,1,NP,Twp,P2,11
Blastula,3,10,1,NP,Twp,P2,5
Blastula,4,10,1,NP,Twp,P2,6
Blastula,5,10,1,NP,Twp,P2,10
Blastula,6,10,1,NP,Twp,P2,7
Blastula,7,10,1,NP,Twp,P2,6
Blastula,8,10,1,NP,Twp,P2,13
Blastula,9,10,1,NP,Twp,P2,9
Blastula,10,10,1,NP,Twp,P2,5
Blastula,1,11,1,C,Cab,P3,10
Blastula,2,11,1,C,Cab,P3,22
Blastula,3,11,1,C,Cab,P3,16
Blastula,4,11,1,C,Cab,P3,13
Blastula,5,11,1,C,Cab,P3,17
Blastula,6,11,1,C,Cab,P3,12
Blastula,7,11,1,C,Cab,P3,18
Blastula,8,11,1,C,Cab,P3,12
Blastula,9,11,1,C,Cab,P3,18
Blastula,10,11,1,C,Cab,P3,16
Blastula,1,12,1,C,Trp,P4,16
Blastula,2,12,1,C,Trp,P4,21
Blastula,3,12,1,C,Trp,P4,15
Blastula,4,12,1,C,Trp,P4,18
Blastula,5,12,1,C,Trp,P4,12
Blastula,6,12,1,C,Trp,P4,17
Blastula,7,12,1,C,Trp,P4,19
Blastula,8,12,1,C,Trp,P4,13
Blastula,9,12,1,C,Trp,P4,19
Blastula,10,12,1,C,Trp,P4,18
Blastula,1,13,1,C,Wh,P3,9
Blastula,2,13,1,C,Wh,P3,3
Blastula,3,13,1,C,Wh,P3,2
Blastula,4,13,1,C,Wh,P3,10
Blastula,5,13,1,C,Wh,P3,7
Blastula,6,13,1,C,Wh,P3,1
Blastula,7,13,1,C,Wh,P3,8
Blastula,8,13,1,C,Wh,P3,5
Blastula,9,13,1,C,Wh,P3,7
Blastula,10,13,1,C,Wh,P3,7
Blastula,1,14,1,C,Trp,P1,7
Blastula,2,14,1,C,Trp,P1,12
Blastula,3,14,1,C,Trp,P1,14
Blastula,4,14,1,C,Trp,P1,8
Blastula,5,14,1,C,Trp,P1,10
Blastula,6,14,1,C,Trp,P1,11
Blastula,7,14,1,C,Trp,P1,5
Blastula,8,14,1,C,Trp,P1,4
Blastula,9,14,1,C,Trp,P1,10
Blastula,10,14,1,C,Trp,P1,4
Blastula,1,15,1,NP,Twp,P4,6
Blastula,2,15,1,NP,Twp,P4,8
Blastula,3,15,1,NP,Twp,P4,9
Blastula,4,15,1,NP,Twp,P4,9
Blastula,5,15,1,NP,Twp,P4,7
Blastula,6,15,1,NP,Twp,P4,12
Blastula,7,15,1,NP,Twp,P4,5
Blastula,8,15,1,NP,Twp,P4,7
Blastula,9,15,1,NP,Twp,P4,8
Blastula,10,15,1,NP,Twp,P4,10
Blastula,1,17,1,NP,Twp,P1,6
Blastula,2,17,1,NP,Twp,P1,8
Blastula,3,17,1,NP,Twp,P1,2
