Stage,Slide,Beaker,Experiment,Treatment,Population,MatePair,Count
Gastrula,1,1,1,C,Cab,P1,5
Gastula,2,1,1,C,Cab,P1,3
Gastula,3,1,1,C,Cab,P1,3
Gastula,4,1,1,C,Cab,P1,9
Gastula,5,1,1,C,Cab,P1,7
Gastula,6,1,1,C,Cab,P1,4
Gastula,7,1,1,C,Cab,P1,7
Gastula,8,1,1,C,Cab,P1,7
Gastula,9,1,1,C,Cab,P1,6
Gastula,10,1,1,C,Cab,P1,4
Gastula,1,2,1,NP,Wh,P3,4
Gastula,2,2,1,NP,Wh,P3,4
Gastula,3,2,1,NP,Wh,P3,4
Gastula,4,2,1,NP,Wh,P3,7
Gastula,5,2,1,NP,Wh,P3,10
Gastula,6,2,1,NP,Wh,P3,10
Gastula,7,2,1,NP,Wh,P3,5
Gastula,8,2,1,NP,Wh,P3,12
Gastula,9,2,1,NP,Wh,P3,6
Gastula,10,2,1,NP,Wh,P3,3
Gastula,1,4,1,NP,Trp,P2,1
Gastula,2,4,1,NP,Trp,P2,2
Gastula,3,4,1,NP,Trp,P2,2
Gastula,4,4,1,NP,Trp,P2,1
Gastula,5,4,1,NP,Trp,P2,7
Gastula,6,4,1,NP,Trp,P2,11
Gastula,7,4,1,NP,Trp,P2,9
Gastula,8,4,1,NP,Trp,P2,10
Gastula,9,4,1,NP,Trp,P2,8
Gastula,10,4,1,NP,Trp,P2,11
Gastula,1,5,1,C,Twp,P3,11
Gastula,2,5,1,C,Twp,P3,5
Gastula,3,5,1,C,Twp,P3,6
Gastula,4,5,1,C,Twp,P3,4
Gastula,5,5,1,C,Twp,P3,4
Gastula,6,5,1,C,Twp,P3,7
Gastula,7,5,1,C,Twp,P3,5
Gastula,8,5,1,C,Twp,P3,11
Gastula,9,5,1,C,Twp,P3,9
Gastula,10,5,1,C,Twp,P3,6
Gastula,1,7,1,NP,Trp,P3,0
Gastula,2,7,1,NP,Trp,P3,0
Gastula,3,7,1,NP,Trp,P3,0
Gastula,4,7,1,NP,Trp,P3,0
Gastula,5,7,1,NP,Trp,P3,0
Gastula,6,7,1,NP,Trp,P3,0
Gastula,7,7,1,NP,Trp,P3,1
Gastula,8,7,1,NP,Trp,P3,0
Gastula,9,7,1,NP,Trp,P3,0
Gastula,10,7,1,NP,Trp,P3,0
Gastula,1,8,1,C,Twp,P1,11
Gastula,2,8,1,C,Twp,P1,11
Gastula,3,8,1,C,Twp,P1,12
Gastula,4,8,1,C,Twp,P1,9
Gastula,5,8,1,C,Twp,P1,10
Gastula,6,8,1,C,Twp,P1,15
Gastula,7,8,1,C,Twp,P1,19
Gastula,8,8,1,C,Twp,P1,13
Gastula,9,8,1,C,Twp,P1,6
