Slide,Beaker,Experiment,Treatment,Population,MatePair,Developed,Undeveloped
1,1,1,C,Cab,P1,5,
2,1,1,C,Cab,P1,2,
3,1,1,C,Cab,P1,10,
4,1,1,C,Cab,P1,5,
5,1,1,C,Cab,P1,10,
6,1,1,C,Cab,P1,8,
1,2,1,NP,Wh,P3,6,1
2,2,1,NP,Wh,P3,7,1
3,2,1,NP,Wh,P3,7,
4,2,1,NP,Wh,P3,9,1
5,2,1,NP,Wh,P3,12,1
6,2,1,NP,Wh,P3,8,2
1,4,1,NP,Trp,P2,20,
2,4,1,NP,Trp,P2,27,
3,4,1,NP,Trp,P2,13,
4,4,1,NP,Trp,P2,12,1
5,4,1,NP,Trp,P2,17,
6,4,1,NP,Trp,P2,7,
1,5,1,C,Twp,P3,8,
2,5,1,C,Twp,P3,15,
3,5,1,C,Twp,P3,17,
4,5,1,C,Twp,P3,9,1
5,5,1,C,Twp,P3,5,
6,5,1,C,Twp,P3,11,
1,7,1,NP,Trp,P3,15,
2,7,1,NP,Trp,P3,10,
3,7,1,NP,Trp,P3,9,
4,7,1,NP,Trp,P3,14,
5,7,1,NP,Trp,P3,19,1
6,7,1,NP,Trp,P3,22,
1,8,1,C,Twp,P1,8,
2,8,1,C,Twp,P1,10,
3,8,1,C,Twp,P1,7,
4,8,1,C,Twp,P1,12,1
5,8,1,C,Twp,P1,9,
6,8,1,C,Twp,P1,2,
1,10,1,NP,Twp,P2,9,
2,10,1,NP,Twp,P2,9,
3,10,1,NP,Twp,P2,6,
4,10,1,NP,Twp,P2,8,
5,10,1,NP,Twp,P2,14,
6,10,1,NP,Twp,P2,9,
1,11,1,C,Cab,P3,7,
2,11,1,C,Cab,P3,31,
3,11,1,C,Cab,P3,22,
4,11,1,C,Cab,P3,17,
5,11,1,C,Cab,P3,9,1
6,11,1,C,Cab,P3,6,
1,12,1,C,Trp,P4,29,1
2,12,1,C,Trp,P4,18,
3,12,1,C,Trp,P4,23,
4,12,1,C,Trp,P4,15,
5,12,1,C,Trp,P4,18,
6,12,1,C,Trp,P4,16,
1,13,1,C,Wh,P3,9,1
2,13,1,C,Wh,P3,5,
3,13,1,C,Wh,P3,12,2
4,13,1,C,Wh,P3,3,
5,13,1,C,Wh,P3,5,
6,13,1,C,Wh,P3,5,
1,14,1,C,Trp,P1,10,
2,14,1,C,Trp,P1,8,
3,14,1,C,Trp,P1,7,
4,14,1,C,Trp,P1,9,
5,14,1,C,Trp,P1,9,
6,14,1,C,Trp,P1,19,
1,15,1,NP,Twp,P4,12,
2,15,1,NP,Twp,P4,20,
3,15,1,NP,Twp,P4,20,
4,15,1,NP,Twp,P4,28,
5,15,1,NP,Twp,P4,19,
6,15,1,NP,Twp,P4,7,
1,17,1,NP,Twp,P1,11,
2,17,1,NP,Twp,P1,12,
3,17,1,NP,Twp,P1,18,2
4,17,1,NP,Twp,P1,10,
5,17,1,NP,Twp,P1,11,1
6,17,1,NP,Twp,P1,5,
1,18,1,NP,Wh,P2,,20
2,18,1,NP,Wh,P2,,6
3,18,1,NP,Wh,P2,,7
4,18,1,NP,Wh,P2,,10
5,18,1,NP,Wh,P2,,13
6,18,1,NP,Wh,P2,1,11
1,19,1,NP,Cab,P4,17,
2,19,1,NP,Cab,P4,15,
3,19,1,NP,Cab,P4,14,
