Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,total,abn_count,ratio,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,67,27,0.402985075,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,52,46,0.884615385,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B4,Exp1_B4,Trp,P2,NP,Nonurban,82,77,0.93902439,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,82,7,0.085365854,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B7,Exp1_B7,Trp,P3,NP,Nonurban,57,57,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B8,Exp1_B8,Twp,P1,C,Nonurban,53,14,0.264150943,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B10,Exp1_B10,Twp,P2,NP,Nonurban,45,45,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B11,Exp1_B11,Cab,P3,C,Urban,126,37,0.293650794,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,52,29,0.557692308,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B13,Exp1_B13,Wh,P3,C,Urban,45,5,0.111111111,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B14,Exp1_B14,Trp,P1,C,Nonurban,58,3,0.051724138,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B15,Exp1_B15,Twp,P4,NP,Nonurban,9,9,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B17,Exp1_B17,Twp,P1,NP,Nonurban,83,83,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B18,Exp1_B18,Wh,P2,NP,Urban,6,6,1,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B19,Exp1_B19,Cab,P4,NP,Urban,76,15,0.197368421,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B20,Exp1_B20,Trp,P3,C,Nonurban,68,16,0.235294118,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B21,Exp1_B21,Wh,P1,NP,Urban,69,67,0.971014493,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B22,Exp1_B22,Twp,P4,C,Nonurban,121,90,0.743801653,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B23,Exp1_B23,Wh,P2,C,Urban,59,6,0.101694915,,,,,,,,,,,,,,,,,
Gastrula,Exp1,B24,Exp1_B24,Trp,P1,NP,Nonurban,133,24,0.180451128,,,,,,,,,,,,,,,,,
