Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,Photo_Label,PhotoID,abnormality_type
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0005,4,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0009,8,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0010,9,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0011,10,underdeveloped
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0013,12,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0019,19,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0022,21,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0025,23,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0026,25,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0027,26,underdeveloped
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0030,29,underdeveloped
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0034,31,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0035,33,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0037,35,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0038,36,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0043,40,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0045,42,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0045,43,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0045,44,underdeveloped
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0045,45,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0045,46,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0048,49,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0049,50,hatched
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0052,53,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0054,55,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0055,56,degraded_stomach
Gastrula,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,gast_exp1_b1-0059,61,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0002,1,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0003,2,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0004,3,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0005,4,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0006,5,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0007,6,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0008,7,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0009,8,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0010,9,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0011,10,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0012,11,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0013,12,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0014,13,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0015,14,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0015,15,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0016,16,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0017,17,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0018,18,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0019,19,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0020,20,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0021,21,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0022,22,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0023,23,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0026,26,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0027,27,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0028,28,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0029,29,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0030,30,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0032,32,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0033,33,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0034,34,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0035,35,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0038,38,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0039,39,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0040,40,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0041,41,underdeveloped
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0042,42,degraded_stomach
Gastrula,Exp1,B2,Exp1_B2,Wh,P3,NP,Urban,gast_exp1_b2-0043,43,underdeveloped
