Stage,Experiment,Beaker,BeakerID,Population,MatePair,Treatment,Urban,PhotoID,SampleID,BL_mm,AL1_mm,AL2_mm
Pluteus,Exp1,B31,Exp1_B31,Cab,P4,C,Urban,plut_exp1_b31-0002,1,0.172,0.231,0.224
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0003,2,0.197,0.261,0.277
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0004,3,0.182,,
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0009,7,0.183,0.227,0.227
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0012,10,0.152,0.179,0.179
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0014,11,0.155,0.185,0.185
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0022,19,0.192,0.235,0.21
Pluteus,Exp1,B1,Exp1_B1,Cab,P1,C,Urban,plut_exp1_b1-0024,21,0.197,0.235,0.236
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0003,2,0.203,0.281,0.256
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0005,4,0.203,0.246,0.256
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0006,5,0.234,0.276,0.284
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0007,6,0.211,0.282,0.258
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0009,8,0.219,0.284,0.273
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0010,9,0.219,0.288,0.293
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0013,12,0.212,0.266,0.27
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0017,16,0.2,0.228,0.239
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0023,22,0.21,0.276,0.264
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0025,24,0.223,0.27,0.27
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0036,36,0.195,0.27,0.236
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0037,37,0.222,0.284,0.283
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0038,44,0.216,0.275,0.276
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0050,50,0.229,0.305,0.292
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0051,51,0.227,0.297,0.296
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0059,60,0.223,0.285,0.29
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0062,63,0.21,0.274,0.278
Pluteus,Exp1,B5,Exp1_B5,Twp,P3,C,Nonurban,plut_exp1_b5-0063,64,0.225,0.276,0.285
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0002,1,0.215,0.254,0.249
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0007,6,0.164,0.199,0.192
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0013,12,0.231,0.252,0.25
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0021,20,0.17,0.206,0.174
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0024,22,0.201,0.222,0.231
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0029,28,0.145,0.169,0.156
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0050,50,0.173,0.192,0.189
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0052,52,0.212,0.244,0.228
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0055,55,0.182,0.196,0.199
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0057,57,0.219,0.241,0.249
Pluteus,Exp1,B12,Exp1_B12,Trp,P4,C,Nonurban,plut_exp1_b12-0058,58,0.174,0.195,0.174
Pluteus,Exp1,B14,Exp1_B14,Trp,P1,C,Nonurban,plut_exp1_b14-0002,1,0.201,0.252,0.252
