Stage,Slide,Beaker,Experiment,Treatment,Population,MatePair,Count
Pluteus,1,1,1,C,Cab,P1,4
Pluteus,2,1,1,C,Cab,P1,5
Pluteus,3,1,1,C,Cab,P1,1
Pluteus,4,1,1,C,Cab,P1,1
Pluteus,5,1,1,C,Cab,P1,5
Pluteus,6,1,1,C,Cab,P1,2
Pluteus,7,1,1,C,Cab,P1,2
Pluteus,8,1,1,C,Cab,P1,1
Pluteus,9,1,1,C,Cab,P1,1
Pluteus,10,1,1,C,Cab,P1,4
Pluteus,1,2,1,NP,Wh,P3,2
Pluteus,2,2,1,NP,Wh,P3,3
Pluteus,3,2,1,NP,Wh,P3,1
Pluteus,4,2,1,NP,Wh,P3,1
Pluteus,5,2,1,NP,Wh,P3,1
Pluteus,6,2,1,NP,Wh,P3,1
Pluteus,7,2,1,NP,Wh,P3,4
Pluteus,8,2,1,NP,Wh,P3,3
Pluteus,9,2,1,NP,Wh,P3,1
Pluteus,10,2,1,NP,Wh,P3,0
Pluteus,1,4,1,NP,Trp,P2,0
Pluteus,2,4,1,NP,Trp,P2,0
Pluteus,3,4,1,NP,Trp,P2,0
Pluteus,4,4,1,NP,Trp,P2,0
Pluteus,5,4,1,NP,Trp,P2,0
Pluteus,6,4,1,NP,Trp,P2,0
Pluteus,7,4,1,NP,Trp,P2,0
Pluteus,8,4,1,NP,Trp,P2,0
Pluteus,9,4,1,NP,Trp,P2,0
Pluteus,10,4,1,NP,Trp,P2,0
Pluteus,1,5,1,C,Twp,P3,2
Pluteus,2,5,1,C,Twp,P3,6
Pluteus,3,5,1,C,Twp,P3,10
Pluteus,4,5,1,C,Twp,P3,7
Pluteus,5,5,1,C,Twp,P3,3
Pluteus,6,5,1,C,Twp,P3,5
Pluteus,7,5,1,C,Twp,P3,5
Pluteus,8,5,1,C,Twp,P3,6
Pluteus,9,5,1,C,Twp,P3,3
Pluteus,10,5,1,C,Twp,P3,3
Pluteus,1,7,1,NP,Trp,P3,0
Pluteus,2,7,1,NP,Trp,P3,0
Pluteus,3,7,1,NP,Trp,P3,0
Pluteus,4,7,1,NP,Trp,P3,0
Pluteus,5,7,1,NP,Trp,P3,0
Pluteus,6,7,1,NP,Trp,P3,0
Pluteus,7,7,1,NP,Trp,P3,0
Pluteus,8,7,1,NP,Trp,P3,0
Pluteus,9,7,1,NP,Trp,P3,0
Pluteus,10,7,1,NP,Trp,P3,0
Pluteus,1,8,1,C,Twp,P1,2
Pluteus,2,8,1,C,Twp,P1,2
Pluteus,3,8,1,C,Twp,P1,3
Pluteus,4,8,1,C,Twp,P1,3
Pluteus,5,8,1,C,Twp,P1,4
Pluteus,6,8,1,C,Twp,P1,8
Pluteus,7,8,1,C,Twp,P1,3
Pluteus,8,8,1,C,Twp,P1,4
Pluteus,9,8,1,C,Twp,P1,2
Pluteus,10,8,1,C,Twp,P1,6
